location_name,longitude,latitude,acres,year,species_name,stagename,numberstocked,county,region
LAKE ALMA,-82.517937,39.144467,68,1983,Channel Catfish,Fingerlings,7300,VINTON,SOUTHEAST
LAKE ALMA,-82.517937,39.144467,68,1983,Channel Catfish,Fingerlings,7300,VINTON,SOUTHEAST
LAKE ALMA,-82.517937,39.144467,68,1987,Channel Catfish,Fingerlings,7400,VINTON,SOUTHEAST
LAKE ALMA,-82.517937,39.144467,68,1988,Channel Catfish,Yearling,1826,VINTON,SOUTHEAST
LAKE ALMA,-82.517937,39.144467,68,1988,Channel Catfish,Yearling,1265,VINTON,SOUTHEAST
LAKE ERIE,,,,1982,Sauger,Fingerlings,2350,,
ARCHBOLD RESERVOIR #2,-84.289382,41.518929,43,1988,Channel Catfish,Yearling,1191,FULTON,NORTHWEST
LAKE HOPE,-82.356263,39.320068,134,1983,Channel Catfish,Fingerlings,5936,VINTON,SOUTHEAST
LAKE HOPE,-82.356263,39.320068,134,1987,Channel Catfish,Fingerlings,12700,VINTON,SOUTHEAST
LAKE HOPE,-82.356263,39.320068,134,1988,Channel Catfish,Yearling,3175,VINTON,SOUTHEAST
LAKE HOPE,-82.356263,39.320068,134,1988,Channel Catfish,Yearling,1438,VINTON,SOUTHEAST
LAKE HOPE,-82.356263,39.320068,134,1989,Channel Catfish,Fingerlings,3630,VINTON,SOUTHEAST
LAKE HOPE,-82.356263,39.320068,134,1989,Channel Catfish,Fingerlings,2995,VINTON,SOUTHEAST
LAKE LECOMTE,-83.447149,41.115821,137,1984,Channel Catfish,Fingerlings,6400,HANCOCK,NORTHWEST
LAKE LECOMTE,-83.447149,41.115821,137,1987,Channel Catfish,Fingerlings,16000,HANCOCK,NORTHWEST
LAKE LECOMTE,-83.447149,41.115821,137,1989,Channel Catfish,Fingerlings,6187,HANCOCK,NORTHWEST
ARCHBOLD RESERVOIR #2,-84.289382,41.518929,43,1989,Channel Catfish,Adv. Fingerlings,2524,FULTON,NORTHWEST
LAKE LECOMTE,-83.447149,41.115821,137,1983,Walleye,Fingerlings,6400,HANCOCK,NORTHWEST
LAKE LECOMTE,-83.447149,41.115821,137,1985,Walleye,Fingerlings,5067,HANCOCK,NORTHWEST
LAKE LECOMTE,-83.447149,41.115821,137,1987,Walleye,Fingerlings,6400,HANCOCK,NORTHWEST
LAKE LECOMTE,-83.447149,41.115821,137,1989,Walleye,Fingerlings,6400,HANCOCK,NORTHWEST
LAKE LECOMTE,-83.447149,41.115821,137,1984,Yellow Perch,Fingerlings,15000,HANCOCK,NORTHWEST
LAKE LA SU AN,-84.695042,41.680192,79,1984,Bluegill,Fingerlings,2000,WILLIAMS,NORTHWEST
LAKE LA SU AN,-84.695042,41.680192,79,1984,Largemouth Bass,Fingerlings,210,WILLIAMS,NORTHWEST
LAKE LA SU AN,-84.695042,41.680192,79,1984,Largemouth Bass,Fingerlings,75,WILLIAMS,NORTHWEST
ARCHBOLD RESERVOIR #2,-84.289382,41.518929,43,1983,Walleye,Fry,45000,FULTON,NORTHWEST
LAKE LOGAN,-82.450711,39.534263,333,1983,Channel Catfish,Fingerlings,20160,HOCKING,SOUTHEAST
LAKE LOGAN,-82.450711,39.534263,333,1987,Channel Catfish,Fingerlings,34100,HOCKING,SOUTHEAST
LAKE LOGAN,-82.450711,39.534263,333,1988,Channel Catfish,Yearling,5000,HOCKING,SOUTHEAST
LAKE LOGAN,-82.450711,39.534263,333,1988,Channel Catfish,Yearling,2515,HOCKING,SOUTHEAST
LAKE LOGAN,-82.450711,39.534263,333,1982,Northern Pike,Fingerlings,4000,HOCKING,SOUTHEAST
LAKE LOGAN,-82.450711,39.534263,333,1983,Northern Pike,Fingerlings,4026,HOCKING,SOUTHEAST
LAKE LOGAN,-82.450711,39.534263,333,1986,Northern Pike,Fingerlings,4000,HOCKING,SOUTHEAST
LAKE LOGAN,-82.450711,39.534263,333,1984,Saugeye,Fingerlings,21328,HOCKING,SOUTHEAST
ARCHBOLD RESERVOIR #2,-84.289382,41.518929,43,1983,Walleye,Fry,55000,FULTON,NORTHWEST
LAKE MEDINA,-81.822079,41.139254,103,1983,Walleye,Fingerlings,1000,MEDINA,NORTHEAST
LAKE MEDINA,-81.822079,41.139254,103,1982,Smallmouth Bass,Fingerlings,6320,MEDINA,NORTHEAST
LAKE MEDINA,-81.822079,41.139254,103,1983,Smallmouth Bass,Fingerlings,10000,MEDINA,NORTHEAST
LAKE MILTON,-80.977591,41.127257,1694,1988,Channel Catfish,Fingerlings,20636,MAHONING,NORTHEAST
LAKE MILTON,-80.977591,41.127257,1694,1989,Channel Catfish,Fingerlings,49480,MAHONING,NORTHEAST
LAKE MILTON,-80.977591,41.127257,1694,1989,Channel Catfish,Yearling,40320,MAHONING,NORTHEAST
LAKE MILTON,-80.977591,41.127257,1694,1985,Walleye,Fry,1000000,MAHONING,NORTHEAST
LAKE MILTON,-80.977591,41.127257,1694,1988,Walleye,Fry,1500000,MAHONING,NORTHEAST
LAKE MILTON,-80.977591,41.127257,1694,1989,Walleye,Fry,601400,MAHONING,NORTHEAST
