unique_id,article_title,article_type,publication_date,publication_text
LTN19781023-01.2.24,Whose homecoming,ARTICLE+ILLUSTRATION,23 October 1978,"<p dir=""auto"">Whose homecoming</p><p dir=""auto"">For the first time in years, homecoming was a big event at Qfeip S^afet ? c We had green laser lights dancing on the buildings of downtown Columbus. We had a bonfire and the traditional school spirit cheers. We had Bob Hope as the grand marshal of the homecoming parade. In what must be heralded as an innovative community spirit gesture, the parade started downtown. Unfortunately, it also ended downtown. This denied many students in the university area the chance to see the floats, the homecoming king and queen candidates and the celebrated comedian. The parade, which was well organized and certainly starstudded in the downtown sense, was mismanaged as far as the university angle is concerned. This was, after all, Ohio State's homecoming. It was not a salute</p><p dir=""auto"">to Bob Hope. It was not a celebration of Ohio Theatre's golden jubHee.-R'was not organized so ""that NBC could film Hope for a December ""Bob Hope Salutes the Ohio Jubilee"" special. As mentioned before, the homecoming committee should be commended for making homecoming an event of importance in a school where student apathy is well known. However, by holding the parade entirely downtown instead of at least partly in the campus area, the parade was performed more for the benefit of Bob Hope and the Ohio Theatre than for the students and alumni which homecoming supposedly represents. The idea of having the parade enter the downtown area is a good one. Perhaps next year, the homecoming parade will be equally festive for both the campus and downtown areas.</p><p dir=""auto"">YA KNOW W, THIN© C0W.P BE WORSE - WE COVLp HAVE REEN STOCK IN HERE WITH A REPORTER,,,</p>"
LTN19781020-01.2.29,Hope coming to homecoming,ARTICLE,20 October 1978,"<p dir=""auto"">Hope coming to homecoming</p><p dir=""auto"">By Jean Kinney Bob Hope, Ginger Rogers, Eileen Heckert and three other stars to be announced today by the NBC television network will join the OSU Marching Band. Gov. James A. Rhodes, the homecoming court and 27 floats in the first downtown homecoming parade tonight at 6:30. The parade will be the result of four month's planning by the homecoming committee and the Ohio Theatre Jubilee committee, which is celebrating the theatre's 50t.h anniversary. The two groups decided on ""Thanks for the Memories"" as their theme, in honor of Hope and the theatre. The parade will begin at Nationwide Plaza on High Street and will head south to State Street. Leading the parade will be the police honor guard, followed by the OSU Marching Band. In 1928 Model A Fords will be Hope, Rhodes and Columbus Mayor Tom Moody, The homecoming court, last year's king and queen and the five winners of a campus-wide clown contest held Wednesday night will follow. The rest of the parade will feature a record number of floats, the Alumni Band, the ROTC Marching Unit, the Scarlet Steppers, (the OSU drill team) and celebrities aboard more antique cars. When the parade turns east on State Street, the Marching Band will pull over to the side of the street and will provide the music for a laser light show from the portico above the Ohio Theatre. NBC will be filming parts of the parade for its Bob Hope special which will be taped Saturday night at the Ohio Theatre, and aired nationally Dec. 3.</p>"
LTN19711014-01.2.19,Homecoming planners pick Hollywood theme ,ARTICLE,14 October 1971,"<p dir=""auto"">Homecoming planners pick Hollywood theme</p><p dir=""auto"">By DianneDesich Plans are in full swing for the world premiere of ""Hollywood and High"" — a 1971 Homecoming spectacular . This year ' s Homecoming will feature flicks and a Jethro Tull concert . Emphasis has been placed on planning a weekend that will be entertaining and enjoyable for a large number of students , according to</p><p dir=""auto"">Pam Segnst , a senior from Swanton and Homecoming general chairman . Activities will begin with the Homecoming parade , at 6 p . m . Friday , Oct . 22 , in which floats made by various campus organizations , living units and honoraries will compete . Anyone wishing to enter a float in the competition can pick up an application in room 445 of the Ohio Union . Judging will take place before the parade , with winners being chosen in three categories : best use of theme , best of parade and most original . Winners will be announced during pre-game activities Saturday and trophies will be donated by Lowe ' s Theater . Also featured will be five finalists in the Homecoming Queen contest . Students to choose This year , to equalize the on and off campus representation , students will vote for one of 10 finalists ( five from on campus and five from off campus ) on Wednesday . The top five will appear as a court in the parade</p><p dir=""auto"">and the winner will be announced Saturday before the game . A rally for the football match against Wisconsin will form behind the parade along the route . The parade will travel east on Woodruff to High Street , south on High to 12 th Avenue , west on 12 th to South College , where it and the rally will separate . The rally will proceed west on 12 th to Neil Avenue , then on to the stadium . Saturday , Oct . 23 , of course , is the * big game . At 8 p . m . Saturday , the really big show will be at St . John Arena when the Ohio Staters present Jethro Tull in concert . Tickets for this event are available at the Agora Ticket Office . Although there will be no formal Homecoming dance this year , Homecoming weekend is striving for an E-E rating — Entertainment for Everyone , Segristsaid .</p>"
LTN19791024-01.2.29,Homecoming — past and present,ARTICLE+ILLUSTRATION,24 October 1979,"<p dir=""auto"">Homecoming — past and present</p><p dir=""auto"">'Heroes' Festive weekend planned</p><p dir=""auto"">By Carolyn Malec Providing OSU alumni with a ""Heroes"" welcome are only a part of the Homecoming festivities this weekend. A parade will kick off the weekend at 6:30 p.m. on Friday. The parade features John W. Galbreath as the grand marshal. Galbreath is principal owner of the Pittsburgh Pirates, vice president of Churchill Downs Inc. and owner of Darby Dan Farms. He is also owner of a Columbus real estate firm. Following the Homecoming ""Heroes"" theme, the parade also highlights invited OSU alumni, the OSU Marching Band, the Scarlet Steppers and floats carrying the Homecoming court. The parade begins at the soccer fields across from the Ohio Stadium and proceeds on Tuttle Parkway to Woodruff Avenue, continuing east to High Street. The parade is to travel south on High Street to West 12th Avenue, west to College Drive, north to Woodruff Avenue and west to the stadium. After the parade, a rally and bonfire will be held at the Tuttle Parking Lot on the northeast side of the stadium. Coach Earle Bruce, the football team, cheerleaders and the OSU Marching Band will be at the rally along with the Homecoming court which will be introduced. The Homecoming Dance follows the rally at 9 p.m. in the Ohio Union Ballrooms. The semi-formal dance features music by the Euclid Beach Band and Pure Jam. Tickets, $3.50 per couple or $2 per person, are available at the Ohio Union Programming Office. Admission includes beer and snacks. The king and queen of the Homecoming court will be announced in the pre-game ceremonies of the OSU-Michigan State game on Saturday. Winners of the sign and float contest and winners of the spirit awards will also be announced. Fraternities, sororities, dorms and other groups around campus are building floats.</p><p dir=""auto"">lantern Flic Photo Members of Beta Theta Pi scaled scaffolding and pasted papers to form their 1965 Homecoming entry. The completed figure is shown on the right side of the page.</p><p dir=""auto"">Lantern File Photo Beta Theta Pi's mountain of newsprint and glue evolved into a scowling mountain of a football player.</p><p dir=""auto"">Lantern File Photo This elaborate homecoming decoration proves that stu dents were ""cuckoo"" even back in 1953. This one appeared in front of the Phi Gamma Delta fraternity then.</p>"
LTN19700311-01.2.65,Mobile Float Parade Planned ,ARTICLE,11 March 1970,"<p dir=""auto"">Mobile Float Parade Planned</p><p dir=""auto"">Not since Maudine Ormsby , a University dairy cow , was elected Ohio State's 1926 Homecoming queen and was pulled around campus on a cart has the University had a Homecoming parade with mobile floats . Homecoming 1970 will be an exception . In recognition of Ohio State ' s 100 th anniversary , Traditions Board and the Student Centennial Committee are organizing the University ' s first multi-float Homecoming parade , a project requiring a great deal more planning than did the spontaneous ""one-float victory parade"" in 1926 . The parade , scheduled to precede the Oct . 17 football game with Minnesota , will replace the traditional Homecoming . decoration of living units .</p><p dir=""auto"">""We ' ve had no adverse reaction from the Greeks , as far as I know , "" said Deborah Craft , float committee chairman for the centennial committee and a member of Traditions Board . ""I would guess the parade would be welcomed with open arms since it will involve less expense than stable floats . "" She said last year Greeks spent as much as S 1 , 000 per house for Homecoming decorations . The centennial committee estimates mobile float expenses will be no more than $ 200 per float , she said . The centennial committee hopes as many as 80 to 100 units will participate in the parade , according to Lawrence Nuber , special arrangements chairman for the centennial committee . At least 50 per cent of . the units will be floats , he said . The</p><p dir=""auto"">remainder will include VIP cars , bands and special units such as antique cars . ""Everything so far is very tentative , "" Nuber said . ""It ' s difficult to plan specifics so far in advance . "" He said the centennial committee is striving for a workable method ol co-sponsoring floats between local merchants and University living units . Still Many Problems Many problems such as where the floats can be built , the route the parade will take , where equipment can be obtained and limitations on width , height and cost of floats hopefully will be worked out in the next few weeks , Nuber said . The centennial committee is ill j . the process of obtaining permission to construct the floats in and underneath the stadium .</p><p dir=""auto"">A tentative parade route has been mapped out , but this awaits approval by Columbus Safety Director James J . Hughes Jr ., Nuber said . Parade Route Set According to committee plans , the parade will move out of the stadium , south on Neil Avenue to 11 th Avenue , east on 11 th to N . High Street , past an Ohio Union reviewing stand where a judging panel and television cameras will be situated , north on High to 15 th Avenue , west on 15 th , and then around the Oval , where the floats will be on display throughout the weekend . Nuber said he anticipates no problems in blocking off traffic on the Oval since ""it is always I blocked off on football Saturdays anyway . "" The main question involves closing High Street , he said .</p>"
LTN19771028-01.2.15,Weekend to provide variety,ARTICLE+ILLUSTRATION,28 October 1977,"<p dir=""auto"">Weekend to provide variety</p><p dir=""auto"">By Bill Francis The theme of Ohio State's 1977 Homecoming is ""OSU at the Movies,"" but you may want to skip the movies this weekend and take part in the Homecoming activities instead. Kicking off the festivities at 6:30 tonight will be a parade featuringthe OSU' Marching Band, the Scarlet Steppers drill team, the cheerlead-</p><p dir=""auto"">ers and floats carrying the Homecoming Court. The parade will split into two groups after starting at the south end of the stadium, with one group marching through South Campus while the other will cover North Campus. The parade will merge at the corner of 15th and College avenues. It will then travel north on High</p><p dir=""auto"">Street to 16th Avenue, east to Indianola Avenue, south to 15th Avenue, west to High Street, then north: to Woodruff Avenue and west to the stadium. Various dormitories, fraternities' and sororities have worked together to present approximately 14 floats — which this year will move in the parade instead of sitting still as they have in the past. Students who cannot finance a float can enter the sign contest and carry their signs in the parade. After the parade, a rally and bonfire will be held at the soccer field next to the stadium, f Coach Woody Hayes, cheerleaders : and the band will host the rally where the homecoming court will be introduced and the winners of the float and sign content will be announced. At the Ohio Union, movie fariatics can see the ""Murder by Death"" in the Conference Theater at 7 p.m., 9:30 p.m. and midnight. Students can dance to songs played by the Disco King in the Ohio Union's Ballroom from 9 p.m. to 1 a.m. Admission is free and beer is 25 cents. The Lynyrd Skynyrd concert scheduled for tonight was cancelled due to a plane crash which killed three band members. Another band was not rescheduled. The King and Queen will be announced and crowned at pre-game activities Saturday before the OSU-Wisconsin game. Pre-game activities will include a parade of floats into the stadium and introductions of the Homecoming Court and committee.</p><p dir=""auto"">¦ Lantern Photo by Bill Meyer John Home, left, and Joe Van Skoy, both sophomores from Columbus and members of the Phi Kappa Sigma fraternity, begin work on a ""Groucho Marx"" float for Homecoming.</p>"
LTN19781010-01.2.20,Homecoming events set,ARTICLE,10 October 1978,"<p dir=""auto"">Homecoming events set</p><p dir=""auto"">By Jean Kinney Entry forms for homecoming parade floats must be turned in Wednesday, by 4:30 p.m., said Kirk Warner, a junior from Greenville and the homecoming committee's float and sign chairman. The forms can be picked up and turned in at the Program Department next to the newsstand on the Ohio Union's second floor. Any group or person can enter, Warner said, but applications must be approved by the committee. ""Thanks for the Memories"" will be this year's homecoming theme. Warner said the theme was chosen in reference to Bob Hope who will be grand marshall of the homecoming parade, and also to the Ohio Theatre's 50th anniversary. Float themes</p><p dir=""auto"">must pertain to the homecoming theme. Floats will be judged Friday, Oct. 20 on the basis of their adherence to theme, originality and workmanship. Judges are OSU faculty and staff members from various university departments. All floats must also pass a safety inspection Warner said, to ensure they are sturdy and fireproof.</p><p dir=""auto"">Those entering floats may secure a sponsor or sponsors, who cannot contribute more than $750 to the building of the float. A booklet with a list of stores offering discounts for float supplies can be picked up along with float entry forms. In addition to the float contest, there will be a competition for signs to be carried in the parade, Warner said. Signs must</p><p dir=""auto"">also adhere to the homecoming theme and will be judged on the same basis as the floats and at the same time. Students who live in dorms and cannot build floats for the parade can enter the dorm design contest, Warner said. More information on the various contests can be obtained at the Program Department.</p><p dir=""auto"">4 Memories' is theme</p>"
LTN19711021-01.2.5,"Homecoming fete : 21 floats , 4 rallies ",ARTICLE,21 October 1971,"<p dir=""auto"">Homecoming fete : 21 floats , 4 rallies</p><p dir=""auto"">By Barbara Levin Miss Universe , four rallies , 21 floats , a bonfire , and several movies will be some of the highlights of the 1971 Homecoming festivities this weekend . The current Miss Universe , Georgina Rizk of jirut , Lebanon , will be present at Saturday ' s pre-game crowning of the Homecoming Queen . She is in Columbus as part of a promotional tour for a local department store , according to Sam Byers , a senior from Cincinnati and a member of Student Events Board . Jeanne Ramer , last year ' s Homecoming queen , will crown the new homecoming queen with a $ 100 , 000 diamond tiara . A 21-float parade , representing dormitories , sororities , fraternities , and campus honoraries , will start Friday night ' s activities , according to Pam Segrist , a senior from Swanton and Homecoming chairman . The parade , which begins at 6 p . m ., will travel east on Woodruff to High Street , south on High to 12 th Avenue , and west on 12 th to South College Drive . High Street will be blocked off from Woodruff Avenue to 12 th Avenue . After the parade , the floats will be returned to the various living units , where they will be on display . Four individual rallies , one from each of the three residence areas and one from the greek district , will form behind the parade . The West Campus rally will begin in front of the towers at 5 : 15 p . m . ; the North Campus rally in front of Scott House at 5 : 30 p . m . ; the greek rally in front of the Kappa Sigma house at 5 : 30 p . m . ; and the South Campus rally in front of East Baker Hall at 6 p . m . The rallies will separate from the parade at 12 th Avenue and South College Drive . The rally will precede to the east side of the stadium for a bonfire featuring the marching band , Woody Hayes , and the football team . At 8 : 15 p . m . a snake dance from the rally to the Ohio Union will lead to ""Friday Night at the Movies . '' Fpur full-length movies will be shown in the Union . Homecoming festivities will conclude with the Jethro Tull concert at St . John Arena , 8 p . m . Saturday . Tickets are still on sale at the Agora ticket office .</p>"
LTN19781020-01.2.5,It's a homecoming float,ARTICLE+ILLUSTRATION,20 October 1978,"<p dir=""auto"">It's a homecoming float</p><p dir=""auto"">These clowns promoting homecoming, from left, Peggy Conny, a senior from Alliance; Dianna Kaczay, a senior from Elyria; Diane Mintz, a senior from Cleveland and Joe Oelgoetz, a senior from Worthington, decorated the Oval Thursday. Other clowns will be featured in the first down-</p><p dir=""auto"">town homecoming parade to begin at 6:30 p.m. The parade will also include the announcement of the five winners of the campus-wide clown contest. See homecoming story on page 5.</p><p dir=""auto"">Lantern Photo by Kurt Mutchler</p>"
LTN19731003-01.2.57,Homecoming events need participants ,ARTICLE,3 October 1973,"<p dir=""auto"">Homecoming events need participants</p><p dir=""auto"">Students who want to take an active part in Ohio State ' s Homecoming this year will have their chance today . The 1973 Homecoming committee will be taking names ol volunteers at 4 p . m . in the Franklin Room of the Ohio Union , according to Nancy Essex , chairperson of the Homecoming Committee . Students are needed for event committees .</p><p dir=""auto"">* Floats and Parade — Students will establish rules lor the stationary floats . There are no plans for moving floats . * Publicity and Communication * Special Arrangements — Volunteers will be in charge oi finding cars lor the parade : speaker systems and tickets . Homecoming will be the weekend of October 26</p>"
