index,year,image,name,inducted_members,prior_nominations,induction_presenter,artist,image_url,artist_url
0,1986,,Chuck Berry,,Inaugural class,Keith Richards,Chuck Berry,/wiki/File:Chuck_Berry_1957.jpg,/wiki/Chuck_Berry
1,1986,,James Brown,,Inaugural class,Steve Winwood,James Brown,/wiki/File:James_Brown_Live_Hamburg_1973_1702730029.jpg,/wiki/James_Brown
2,1986,,Ray Charles,,Inaugural class,Quincy Jones,Ray Charles,/wiki/File:Ray_Charles_classic_piano_pose.jpg,/wiki/Ray_Charles
3,1986,,Sam Cooke,,Inaugural class,Herb Alpert,Sam Cooke,/wiki/File:Sam_Cooke_2.jpg,/wiki/Sam_Cooke
4,1986,,Fats Domino,,Inaugural class,Billy Joel,Fats Domino,/wiki/File:Fats_Domino_in_Amsterdam_1962_(crop).jpg,/wiki/Fats_Domino
5,1986,,The Everly Brothers,Don Everly and Phil Everly.[8],Inaugural class,Neil Young,The Everly Brothers,/wiki/File:Everly_Brothers_-_Cropped.jpg,/wiki/The_Everly_Brothers
6,1986,,Buddy Holly[9],,Inaugural class,John Fogerty,Buddy Holly,/wiki/File:Buddy_Holly_cropped.JPG,/wiki/Buddy_Holly
7,1986,,Jerry Lee Lewis,,Inaugural class,Hank Williams Jr.,Jerry Lee Lewis,/wiki/File:Jerry_Lee_Lewis_1950s_publicity_photo_cropped_retouched.jpg,/wiki/Jerry_Lee_Lewis
8,1986,,Little Richard[10],,Inaugural class,Roberta Flack,Little Richard,/wiki/File:Little_Richard_(1967).png,/wiki/Little_Richard
9,1986,,Elvis Presley[11],,Inaugural class,Julian and Sean Lennon,Elvis Presley,/wiki/File:Elvis_Presley_promoting_Jailhouse_Rock.jpg,/wiki/Elvis_Presley
10,1987,,The Coasters,"Carl Gardner, Cornell Gunter, Billy Guy, and Will ""Dub"" Jones.[12]",1 (1986),Lester Sill,The Coasters,/wiki/File:The_Coasters_1957.JPG,/wiki/The_Coasters
11,1987,,Eddie Cochran,,1 (1986),Mick Jones,Eddie Cochran,/wiki/File:Eddie_Cochran.jpg,/wiki/Eddie_Cochran
12,1987,,Bo Diddley,,1 (1986),ZZ Top,Bo Diddley,/wiki/File:Bo_Diddley_(1957_publicity_portrait).jpg,/wiki/Bo_Diddley
13,1987,,Aretha Franklin,,First nomination,Keith Richards,Aretha Franklin,/wiki/File:Aretha_Franklin_1968.jpg,/wiki/Aretha_Franklin
14,1987,,Marvin Gaye,,1 (1986),Nick Ashford and Valerie Simpson,Marvin Gaye,/wiki/File:Marvin_Gaye_(1973_publicity_photo).jpg,/wiki/Marvin_Gaye
